	demo1	demo2	demo3	demo4
ASV_1	27	275	322990	65
ASV_2	60565	62596	20	14
ASV_3	16681	17459	34	41483
ASV_4	0	0	0	44533
ASV_5	28624	17	0	1
ASV_6	23819	20	0	4
ASV_7	133	4	20306	7
ASV_8	4036	11122	1733	968
ASV_9	131	0	0	15770
ASV_10	2	3	35	13772
ASV_11	12703	16	1	0
ASV_12	7800	4557	0	0
ASV_13	11344	11	24	3
ASV_14	9937	791	2	5
ASV_15	7422	10	296	5
ASV_16	1096	568	5488	27
ASV_17	156	6343	264	3
ASV_18	0	0	6615	0
ASV_19	334	568	496	2017
ASV_20	1386	1660	0	0
ASV_21	1112	11	1841	11
ASV_22	2516	1	0	0
ASV_23	0	2017	1	3
ASV_24	0	0	2008	0
ASV_25	1878	5	0	0
ASV_26	0	16	1182	52
ASV_27	0	0	0	858
ASV_28	0	0	809	1
ASV_29	530	54	0	119
ASV_30	4	396	139	116
ASV_31	0	0	0	593
ASV_32	1	0	537	1
ASV_33	521	11	1	4
ASV_34	0	0	431	0
ASV_35	0	383	0	0
ASV_36	6	144	26	67
ASV_37	2	0	239	0
ASV_38	0	0	0	236
ASV_39	1	202	0	4
ASV_40	0	0	189	0
ASV_41	0	0	188	0
ASV_42	111	4	66	1
ASV_43	0	0	0	182
ASV_44	6	109	61	0
ASV_45	0	3	18	144
ASV_46	148	3	1	0
ASV_47	0	136	0	0
ASV_48	0	29	89	17
ASV_49	124	2	0	3
ASV_50	114	0	0	6
ASV_51	76	7	25	9
ASV_52	101	0	0	13
ASV_53	0	1	105	0
ASV_54	0	1	97	0
ASV_55	0	86	0	0
ASV_56	70	0	0	6
ASV_57	0	55	21	0
ASV_58	1	18	49	7
ASV_59	71	0	0	0
ASV_60	0	0	69	0
ASV_61	1	63	0	0
ASV_62	0	35	16	10
ASV_63	0	0	0	61
ASV_64	52	2	0	4
ASV_65	12	0	36	5
ASV_66	26	4	4	5
ASV_67	0	0	39	0
ASV_68	0	9	1	28
ASV_69	3	14	11	9
ASV_70	0	27	9	1
ASV_71	34	0	2	0
ASV_72	3	7	15	9
ASV_73	29	2	2	0
ASV_74	0	4	21	8
ASV_75	0	3	4	23
ASV_76	4	5	20	0
ASV_77	0	2	25	1
ASV_78	25	0	0	2
ASV_79	0	27	0	0
ASV_80	25	0	1	0
ASV_81	2	11	10	3
ASV_82	1	1	1	21
ASV_83	0	0	24	0
ASV_84	2	10	9	0
ASV_85	0	0	20	0
ASV_86	4	8	0	6
ASV_87	2	7	0	8
ASV_88	0	0	16	0
ASV_89	15	0	0	0
ASV_90	3	0	0	11
ASV_91	0	4	0	10
ASV_92	7	0	6	0
ASV_93	2	4	5	2
ASV_94	1	2	7	3
ASV_95	0	7	6	0
ASV_96	0	4	4	5
ASV_97	0	0	0	13
ASV_98	0	12	0	0
ASV_99	0	7	5	0
ASV_100	0	0	5	7
ASV_101	11	0	0	0
ASV_102	0	9	0	1
ASV_103	1	4	2	2
ASV_104	0	0	2	7
ASV_105	0	8	0	0
ASV_106	0	8	0	0
ASV_107	0	4	4	0
ASV_108	0	4	0	4
ASV_109	0	0	5	3
ASV_110	0	0	7	0
ASV_111	6	0	0	0
ASV_112	0	0	4	2
ASV_113	0	5	0	0
ASV_114	0	5	0	0
ASV_115	0	0	5	0
ASV_116	0	0	0	5
ASV_117	4	0	0	0
ASV_118	4	0	0	0
ASV_119	2	2	0	0
ASV_120	0	4	0	0
ASV_121	0	4	0	0
ASV_122	0	4	0	0
ASV_123	0	3	0	1
ASV_124	0	0	4	0
ASV_125	0	0	4	0
ASV_126	3	0	0	0
ASV_127	3	0	0	0
ASV_128	0	3	0	0
ASV_129	0	3	0	0
ASV_130	0	1	2	0
ASV_131	0	0	3	0
ASV_132	0	0	3	0
ASV_133	0	0	3	0
ASV_134	0	0	1	2
ASV_135	0	0	0	3
ASV_136	2	0	0	0
ASV_137	0	2	0	0
ASV_138	0	2	0	0
ASV_139	0	0	2	0
ASV_140	0	0	2	0
ASV_141	1	0	0	0
ASV_142	0	0	1	0
ASV_143	0	0	1	0
ASV_144	0	0	1	0
ASV_145	0	0	1	0
